user_id,session_id,is_premium,used_personalized_feature,app_open,search_or_browse,track_play,save_or_lyrics,completed_session
U_00000,U_00000_S0,0,0,1,1,1,0,0
U_00000,U_00000_S1,0,0,1,1,0,0,0
U_00000,U_00000_S2,0,1,1,0,0,0,0
U_00000,U_00000_S3,0,1,1,1,0,0,0
U_00000,U_00000_S4,0,1,1,1,1,0,0
U_00001,U_00001_S0,0,0,1,1,0,0,0
U_00001,U_00001_S1,0,0,1,1,1,1,1
U_00002,U_00002_S0,1,0,1,0,0,0,0
U_00002,U_00002_S1,1,1,1,1,1,0,0
U_00002,U_00002_S2,1,0,1,1,1,1,0
U_00002,U_00002_S3,1,0,1,0,0,0,0
U_00002,U_00002_S4,1,1,1,1,0,0,0
U_00003,U_00003_S0,0,1,1,1,1,1,1
U_00003,U_00003_S1,0,1,1,0,0,0,0
U_00003,U_00003_S2,0,0,1,0,0,0,0
U_00003,U_00003_S3,0,0,1,1,0,0,0
U_00003,U_00003_S4,0,1,1,1,0,0,0
U_00004,U_00004_S0,0,0,1,0,0,0,0
U_00005,U_00005_S0,0,1,1,0,0,0,0
U_00006,U_00006_S0,0,0,1,1,1,1,1
U_00006,U_00006_S1,0,1,1,1,1,0,0
U_00006,U_00006_S2,0,0,1,1,1,1,1
U_00007,U_00007_S0,0,0,1,1,1,1,1
U_00007,U_00007_S1,0,0,1,1,1,0,0
U_00007,U_00007_S2,0,0,1,1,0,0,0
U_00008,U_00008_S0,0,0,1,1,1,0,0
U_00008,U_00008_S1,0,0,1,0,0,0,0
U_00008,U_00008_S2,0,1,1,1,1,1,1
U_00008,U_00008_S3,0,0,1,1,1,1,1
U_00008,U_00008_S4,0,0,1,0,0,0,0
U_00009,U_00009_S0,0,1,1,1,0,0,0
U_00010,U_00010_S0,0,0,1,1,0,0,0
U_00011,U_00011_S0,0,0,1,1,1,0,1
U_00011,U_00011_S1,0,1,1,1,1,0,1
U_00011,U_00011_S2,0,0,1,1,1,0,1
U_00012,U_00012_S0,1,1,1,1,1,1,1
U_00012,U_00012_S1,1,0,1,1,0,0,0
U_00012,U_00012_S2,1,1,1,1,1,0,1
U_00013,U_00013_S0,0,0,1,0,0,0,0
U_00014,U_00014_S0,0,0,1,1,1,1,1
U_00014,U_00014_S1,0,0,1,1,1,1,1
U_00014,U_00014_S2,0,1,1,1,0,0,0
U_00014,U_00014_S3,0,0,1,1,0,0,0
U_00015,U_00015_S0,0,0,1,1,1,1,1
U_00016,U_00016_S0,1,0,1,1,1,1,1
U_00017,U_00017_S0,1,0,1,0,0,0,0
U_00017,U_00017_S1,1,1,1,1,0,0,0
U_00017,U_00017_S2,1,0,1,1,0,0,0
U_00017,U_00017_S3,1,0,1,1,1,1,0
U_00018,U_00018_S0,0,0,1,0,0,0,0
U_00019,U_00019_S0,0,1,1,1,0,0,0
U_00019,U_00019_S1,0,0,1,1,0,0,0
U_00019,U_00019_S2,0,1,1,1,1,1,1
U_00020,U_00020_S0,0,1,1,1,0,0,0
U_00020,U_00020_S1,0,0,1,1,1,0,1
U_00020,U_00020_S2,0,0,1,1,1,1,1
U_00020,U_00020_S3,0,0,1,1,1,1,0
U_00021,U_00021_S0,0,0,1,0,0,0,0
U_00022,U_00022_S0,0,1,1,0,0,0,0
U_00022,U_00022_S1,0,0,1,1,1,0,1
U_00023,U_00023_S0,0,0,1,1,1,0,1
U_00024,U_00024_S0,0,0,1,0,0,0,0
U_00024,U_00024_S1,0,1,1,0,0,0,0
U_00024,U_00024_S2,0,0,1,1,0,0,0
U_00024,U_00024_S3,0,1,1,0,0,0,0
U_00024,U_00024_S4,0,1,1,1,1,0,0
U_00025,U_00025_S0,1,1,1,1,0,0,0
U_00025,U_00025_S1,1,0,1,1,0,0,0
U_00026,U_00026_S0,0,0,1,1,0,0,0
U_00026,U_00026_S1,0,0,1,1,1,1,1
U_00026,U_00026_S2,0,1,1,1,0,0,0
U_00026,U_00026_S3,0,1,1,1,1,0,0
U_00027,U_00027_S0,1,1,1,0,0,0,0
U_00028,U_00028_S0,1,0,1,0,0,0,0
U_00028,U_00028_S1,1,0,1,1,1,1,1
U_00029,U_00029_S0,0,0,1,1,1,1,0
U_00029,U_00029_S1,0,0,1,0,0,0,0
U_00029,U_00029_S2,0,0,1,1,1,0,0
U_00029,U_00029_S3,0,0,1,1,0,0,0
U_00029,U_00029_S4,0,0,1,1,1,1,0
U_00030,U_00030_S0,0,1,1,1,1,1,1
U_00030,U_00030_S1,0,1,1,1,1,1,1
U_00031,U_00031_S0,0,1,1,1,1,1,1
U_00031,U_00031_S1,0,1,1,1,0,0,0
U_00031,U_00031_S2,0,0,1,0,0,0,0
U_00032,U_00032_S0,0,1,1,1,1,0,1
U_00032,U_00032_S1,0,0,1,1,1,1,1
U_00032,U_00032_S2,0,1,1,0,0,0,0
U_00033,U_00033_S0,0,0,1,0,0,0,0
U_00033,U_00033_S1,0,1,1,1,1,0,1
U_00033,U_00033_S2,0,1,1,1,1,1,1
U_00033,U_00033_S3,0,1,1,1,0,0,0
U_00033,U_00033_S4,0,1,1,1,1,0,1
U_00034,U_00034_S0,0,1,1,1,1,1,1
U_00034,U_00034_S1,0,0,1,1,0,0,0
U_00034,U_00034_S2,0,0,1,1,1,0,1
U_00034,U_00034_S3,0,1,1,0,0,0,0
U_00035,U_00035_S0,1,0,1,1,1,1,1
U_00035,U_00035_S1,1,0,1,0,0,0,0
U_00036,U_00036_S0,0,1,1,1,1,0,1
U_00036,U_00036_S1,0,1,1,0,0,0,0
U_00036,U_00036_S2,0,0,1,1,1,1,1
U_00036,U_00036_S3,0,0,1,1,1,0,1
U_00037,U_00037_S0,0,1,1,1,1,0,1
U_00037,U_00037_S1,0,0,1,1,0,0,0
U_00037,U_00037_S2,0,0,1,0,0,0,0
U_00037,U_00037_S3,0,1,1,1,1,1,1
U_00038,U_00038_S0,0,0,1,1,0,0,0
U_00039,U_00039_S0,1,0,1,0,0,0,0
U_00039,U_00039_S1,1,1,1,1,0,0,0
U_00039,U_00039_S2,1,1,1,0,0,0,0
U_00039,U_00039_S3,1,0,1,1,0,0,0
U_00039,U_00039_S4,1,1,1,1,1,1,1
U_00040,U_00040_S0,1,0,1,1,0,0,0
U_00040,U_00040_S1,1,1,1,1,0,0,0
U_00040,U_00040_S2,1,0,1,1,0,0,0
U_00040,U_00040_S3,1,0,1,0,0,0,0
U_00041,U_00041_S0,0,1,1,1,0,0,0
U_00041,U_00041_S1,0,1,1,1,1,1,1
U_00041,U_00041_S2,0,0,1,1,1,0,0
U_00041,U_00041_S3,0,0,1,1,1,0,1
U_00041,U_00041_S4,0,0,1,1,1,1,1
U_00042,U_00042_S0,0,0,1,0,0,0,0
U_00043,U_00043_S0,0,1,1,1,1,1,1
U_00043,U_00043_S1,0,1,1,1,1,0,1
U_00043,U_00043_S2,0,1,1,1,1,1,1
U_00043,U_00043_S3,0,0,1,1,1,1,1
U_00043,U_00043_S4,0,1,1,1,1,1,1
U_00044,U_00044_S0,0,1,1,1,0,0,0
U_00044,U_00044_S1,0,0,1,0,0,0,0
U_00044,U_00044_S2,0,0,1,1,1,0,1
U_00044,U_00044_S3,0,0,1,1,1,0,1
U_00044,U_00044_S4,0,1,1,1,0,0,0
U_00045,U_00045_S0,1,1,1,0,0,0,0
U_00045,U_00045_S1,1,0,1,1,0,0,0
U_00046,U_00046_S0,0,0,1,0,0,0,0
U_00046,U_00046_S1,0,0,1,0,0,0,0
U_00046,U_00046_S2,0,0,1,0,0,0,0
U_00047,U_00047_S0,0,0,1,1,1,1,0
U_00047,U_00047_S1,0,0,1,0,0,0,0
U_00047,U_00047_S2,0,0,1,1,0,0,0
U_00047,U_00047_S3,0,0,1,0,0,0,0
U_00048,U_00048_S0,0,1,1,0,0,0,0
U_00048,U_00048_S1,0,0,1,1,0,0,0
U_00049,U_00049_S0,0,1,1,0,0,0,0
U_00049,U_00049_S1,0,0,1,1,1,0,0
U_00049,U_00049_S2,0,0,1,1,1,0,1
U_00050,U_00050_S0,0,0,1,1,1,1,1
U_00050,U_00050_S1,0,0,1,1,1,0,1
U_00050,U_00050_S2,0,0,1,0,0,0,0
U_00051,U_00051_S0,0,0,1,1,0,0,0
U_00051,U_00051_S1,0,0,1,1,1,0,1
U_00052,U_00052_S0,0,1,1,1,0,0,0
U_00053,U_00053_S0,1,0,1,1,0,0,0
U_00053,U_00053_S1,1,1,1,0,0,0,0
U_00054,U_00054_S0,0,1,1,0,0,0,0
U_00054,U_00054_S1,0,1,1,0,0,0,0
U_00054,U_00054_S2,0,1,1,0,0,0,0
U_00054,U_00054_S3,0,0,1,1,1,1,1
U_00055,U_00055_S0,1,0,1,1,1,1,1
U_00056,U_00056_S0,0,1,1,0,0,0,0
U_00056,U_00056_S1,0,0,1,1,1,0,0
U_00056,U_00056_S2,0,1,1,1,1,0,1
U_00056,U_00056_S3,0,0,1,0,0,0,0
U_00056,U_00056_S4,0,0,1,0,0,0,0
U_00057,U_00057_S0,0,0,1,1,0,0,0
U_00057,U_00057_S1,0,0,1,0,0,0,0
U_00057,U_00057_S2,0,0,1,1,1,1,0
U_00057,U_00057_S3,0,1,1,1,1,1,1
U_00058,U_00058_S0,0,0,1,1,1,1,0
U_00058,U_00058_S1,0,1,1,1,0,0,0
U_00058,U_00058_S2,0,0,1,1,1,1,1
U_00059,U_00059_S0,1,1,1,1,1,1,1
U_00060,U_00060_S0,0,0,1,1,1,1,1
U_00061,U_00061_S0,0,0,1,1,1,1,0
U_00061,U_00061_S1,0,1,1,1,1,1,1
U_00061,U_00061_S2,0,1,1,1,1,0,0
U_00062,U_00062_S0,0,1,1,1,1,0,1
U_00062,U_00062_S1,0,0,1,1,1,0,0
U_00062,U_00062_S2,0,1,1,1,1,1,1
U_00062,U_00062_S3,0,0,1,1,0,0,0
U_00062,U_00062_S4,0,1,1,1,1,0,1
U_00063,U_00063_S0,0,0,1,0,0,0,0
U_00063,U_00063_S1,0,0,1,1,1,0,1
U_00063,U_00063_S2,0,1,1,0,0,0,0
U_00063,U_00063_S3,0,1,1,1,1,0,0
U_00063,U_00063_S4,0,0,1,1,1,0,0
U_00064,U_00064_S0,0,0,1,1,1,1,1
U_00064,U_00064_S1,0,0,1,0,0,0,0
U_00064,U_00064_S2,0,0,1,1,0,0,0
U_00064,U_00064_S3,0,0,1,1,1,1,1
U_00065,U_00065_S0,0,1,1,1,0,0,0
U_00065,U_00065_S1,0,1,1,1,1,0,0
U_00066,U_00066_S0,0,1,1,1,0,0,0
U_00066,U_00066_S1,0,1,1,0,0,0,0
